GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_Affy_HuEX_U133A	ADAM18	ADAM18	8749	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM19	ADAM19	8728	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM2	ADAM2	2515	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM20	ADAM20	8748	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM22	ADAM22	53616	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM23	ADAM23	8745	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM28	ADAM28	10863	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM29	ADAM29	11086	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM30	ADAM30	11085	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM5P	ADAM5P		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM7	ADAM7	8756	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM8	ADAM8	101	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAM9	ADAM9	8754	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMDEC1	ADAMDEC1	27299	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS1	ADAMTS1	9510	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS12	ADAMTS12	81792	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS13	ADAMTS13	11093	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS2	ADAMTS2	9509	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS3	ADAMTS3	9508	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS5	ADAMTS5	11096	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS6	ADAMTS6	11174	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS7	ADAMTS7	11173	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS8	ADAMTS8	11095	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTS9	ADAMTS9	56999	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTSL2	ADAMTSL2	9719	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAMTSL3	ADAMTSL3	57188	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAR	ADAR	103	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADARB1	ADARB1	104	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADARB2	ADARB2	105	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADAT1	ADAT1	23536	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCK2	ADCK2	90956	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY1	ADCY1	107	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY2	ADCY2	108	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY6	ADCY6	112	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY7	ADCY7	113	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY8	ADCY8	114	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCY9	ADCY9	115	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCYAP1	ADCYAP1	116	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADCYAP1R1	ADCYAP1R1	117	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADD1	ADD1	118	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADD2	ADD2	119	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADD3	ADD3	120	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADFP	ADFP	123	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADH1A	ADH1A	124	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADH1B	ADH1B	125	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADH1C	ADH1C	126	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADH5	ADH5	128	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADH6	ADH6	130	HOMO_SAPIENS
