GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_UNC_244	A_23_P2447	TMEM5	10329	HOMO_SAPIENS
Agi_UNC_244	A_24_P383597			HOMO_SAPIENS
Agi_UNC_244	A_24_P235243	COG5	10466	HOMO_SAPIENS
Agi_UNC_244	A_23_P303391	MYCN	4613	HOMO_SAPIENS
Agi_UNC_244	A_23_P339648	TAS2R40	259286	HOMO_SAPIENS
Agi_UNC_244	A_32_P106862			HOMO_SAPIENS
Agi_UNC_244	A_23_P26778	PCNT1		HOMO_SAPIENS
Agi_UNC_244	A_32_P46956			HOMO_SAPIENS
Agi_UNC_244	A_23_P82689	PABPC1	26986	HOMO_SAPIENS
Agi_UNC_244	A_32_P224637			HOMO_SAPIENS
Agi_UNC_244	A_23_P382604	WNT4	54361	HOMO_SAPIENS
Agi_UNC_244	A_32_P40474	PIP5K1A	8394	HOMO_SAPIENS
Agi_UNC_244	A_24_P319636	MCL1	4170	HOMO_SAPIENS
Agi_UNC_244	A_24_P67983			HOMO_SAPIENS
Agi_UNC_244	A_24_P169551	ZNF17	7565	HOMO_SAPIENS
Agi_UNC_244	A_32_P143517	C10orf6		HOMO_SAPIENS
Agi_UNC_244	A_32_P97313	DSG2	1829	HOMO_SAPIENS
Agi_UNC_244	A_23_P7511	TRIM52	84851	HOMO_SAPIENS
Agi_UNC_244	A_23_P7171	PGM2	55276	HOMO_SAPIENS
Agi_UNC_244	A_23_P84198	MGC4645		HOMO_SAPIENS
Agi_UNC_244	A_24_P100421	KCNE1L	23630	HOMO_SAPIENS
Agi_UNC_244	A_23_P8411	GALNT11	63917	HOMO_SAPIENS
Agi_UNC_244	A_23_P87729	POLR3B	55703	HOMO_SAPIENS
Agi_UNC_244	A_23_P434949	MCF2L	23263	HOMO_SAPIENS
Agi_UNC_244	A_23_P216842	GFI1B	8328	HOMO_SAPIENS
Agi_UNC_244	A_23_P206566			HOMO_SAPIENS
Agi_UNC_244	A_24_P652515			HOMO_SAPIENS
Agi_UNC_244	A_32_P40434			HOMO_SAPIENS
