study_id	site_id	subject_id	sample_id	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Colorectal_190712		TCGA-AG-3581	TCGA-AG-3581-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3582	TCGA-AG-3582-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3583	TCGA-AG-3583-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3584	TCGA-AG-3584-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3586	TCGA-AG-3586-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3587	TCGA-AG-3587-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3593	TCGA-AG-3593-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3594	TCGA-AG-3594-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2672	TCGA-A6-2672-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2676	TCGA-A6-2676-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3516	TCGA-AA-3516-01A-02R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3518	TCGA-AA-3518-01A-02R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3525	TCGA-AA-3525-01A-02R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3543	TCGA-AA-3543-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3554	TCGA-AA-3554-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3598	TCGA-AG-3598-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3599	TCGA-AG-3599-01A-02R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-3600	TCGA-AG-3600-01A-01R-0826-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
