GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Affy_microarray	C11orf73	C11orf73	51501	HOMO_SAPIENS
Affy_microarray	PTP4A2	PTP4A2	8073	HOMO_SAPIENS
Affy_microarray	OR4M2	OR4M2	390538	HOMO_SAPIENS
Affy_microarray	HPCA	HPCA	3208	HOMO_SAPIENS
Affy_microarray	SEC14L1	SEC14L1	6397	HOMO_SAPIENS
Affy_microarray	CHFR	CHFR	55743	HOMO_SAPIENS
Affy_microarray	EMILIN1	EMILIN1	11117	HOMO_SAPIENS
Affy_microarray	NDUFS4	NDUFS4	4724	HOMO_SAPIENS
Affy_microarray	COL18A1	COL18A1	80781	HOMO_SAPIENS
Affy_microarray	PDZD3	PDZD3	79849	HOMO_SAPIENS
Affy_microarray	C9orf16	C9orf16	79095	HOMO_SAPIENS
Affy_microarray	ERBB2IP	ERBB2IP	55914	HOMO_SAPIENS
Affy_microarray	EMX2	EMX2	2018	HOMO_SAPIENS
Affy_microarray	FUS	FUS	2521	HOMO_SAPIENS
Affy_microarray	TF	TF	7018	HOMO_SAPIENS
Affy_microarray	CLCN4	CLCN4	1183	HOMO_SAPIENS
Affy_microarray	CXorf56	CXorf56	63932	HOMO_SAPIENS
Affy_microarray	C11orf72	C11orf72		HOMO_SAPIENS
Affy_microarray	ELAC2	ELAC2	60528	HOMO_SAPIENS
Affy_microarray	NPR1	NPR1	4881	HOMO_SAPIENS
Affy_microarray	ASS1	ASS1	445	HOMO_SAPIENS
Affy_microarray	USP42	USP42	84132	HOMO_SAPIENS
Affy_microarray	POLR2J	POLR2J	5439	HOMO_SAPIENS
Affy_microarray	SEC23IP	SEC23IP	11196	HOMO_SAPIENS
Affy_microarray	UQCRC1	UQCRC1	7384	HOMO_SAPIENS
Affy_microarray	LOC729603	LOC729603	729603	HOMO_SAPIENS
Affy_microarray	C1orf71	C1orf71		HOMO_SAPIENS
Affy_microarray	POLG	POLG	5428	HOMO_SAPIENS
Affy_microarray	ADAM23	ADAM23	8745	HOMO_SAPIENS
Affy_microarray	TFR2	TFR2	7036	HOMO_SAPIENS
Affy_microarray	RICTOR	RICTOR	253260	HOMO_SAPIENS
Affy_microarray	MGC39606	MGC39606		HOMO_SAPIENS
Affy_microarray	C19orf55	C19orf55	148137	HOMO_SAPIENS
Affy_microarray	SNAPC1	SNAPC1	6617	HOMO_SAPIENS
Affy_microarray	GNA11	GNA11	2767	HOMO_SAPIENS
Affy_microarray	CCDC52	CCDC52		HOMO_SAPIENS
Affy_microarray	FSIP1	FSIP1	161835	HOMO_SAPIENS
Affy_microarray	UPF3A	UPF3A	65110	HOMO_SAPIENS
Affy_microarray	IGSF11	IGSF11	152404	HOMO_SAPIENS
Affy_microarray	LAGE3	LAGE3	8270	HOMO_SAPIENS
Affy_microarray	CHST6	CHST6	4166	HOMO_SAPIENS
Affy_microarray	UNC13B	UNC13B	10497	HOMO_SAPIENS
Affy_microarray	TTLL4	TTLL4	9654	HOMO_SAPIENS
Affy_microarray	ZNF687	ZNF687	57592	HOMO_SAPIENS
Affy_microarray	SDC2	SDC2	6383	HOMO_SAPIENS
Affy_microarray	COX7A2	COX7A2	1347	HOMO_SAPIENS
Affy_microarray	LAMB4	LAMB4	22798	HOMO_SAPIENS
Affy_microarray	FAM24A	FAM24A	118670	HOMO_SAPIENS
Affy_microarray	LRRTM3	LRRTM3	347731	HOMO_SAPIENS
Affy_microarray	GPHB5	GPHB5		HOMO_SAPIENS
Affy_microarray	OR4C13	OR4C13	283092	HOMO_SAPIENS
Affy_microarray	EIF3EIP	EIF3EIP		HOMO_SAPIENS
Affy_microarray	HABP4	HABP4	22927	HOMO_SAPIENS
Affy_microarray	TMEM125	TMEM125	128218	HOMO_SAPIENS
Affy_microarray	CNTN2	CNTN2	6900	HOMO_SAPIENS
Affy_microarray	ASNSD1	ASNSD1	54529	HOMO_SAPIENS
Affy_microarray	FUT4	FUT4	2526	HOMO_SAPIENS
Affy_microarray	ACF	ACF		HOMO_SAPIENS
Affy_microarray	LOC158381	LOC158381		HOMO_SAPIENS
Affy_microarray	CDH8	CDH8	1006	HOMO_SAPIENS
Affy_microarray	AGPS	AGPS	8540	HOMO_SAPIENS
Affy_microarray	C4orf18	C4orf18		HOMO_SAPIENS
Affy_microarray	PECI	PECI		HOMO_SAPIENS
Affy_microarray	UNG	UNG	7374	HOMO_SAPIENS
